,RegionName,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Avg_5br
0,Alabama,364600.0,345441.67,330635.71,322300.0,324058.33,335875.0,347383.33,358600.0,365241.67,379125.0,396250.0,351773.7
1,Alaska,461575.0,457183.33,461814.29,473058.33,478766.67,479208.33,499516.67,524833.33,524050.0,525050.0,520716.67,491433.87
2,Arizona,161650.0,150541.67,129907.14,126641.67,139233.33,144450.0,141633.33,152891.67,159991.67,169108.33,175900.0,150177.16
3,Arkansas,343141.67,321600.0,323064.29,316200.0,316833.33,327091.67,332733.33,347183.33,347591.67,369075.0,387216.67,339248.27
4,California,578141.67,568391.67,537814.29,544500.0,625891.67,680225.0,718916.67,757608.33,799900.0,843025.0,849550.0,682178.57
5,Colorado,366391.67,356366.67,346514.29,355650.0,376666.67,401266.67,433566.67,465616.67,496825.0,526333.33,549600.0,424981.6
6,Connecticut,564916.67,552191.67,530971.43,505341.67,503750.0,509691.67,515591.67,514475.0,511816.67,520983.33,523766.67,523045.13
7,Delaware,397141.67,384575.0,364985.71,351591.67,356950.0,366183.33,370108.33,388916.67,391575.0,418008.33,420033.33,382733.55
8,District of Columbia,1118175.0,1092400.0,1064078.57,1106291.67,1190891.67,1228741.67,1281650.0,1336275.0,1413000.0,1428625.0,1452916.67,1246640.48
9,Florida,377133.33,346141.67,325478.57,329766.67,349283.33,375558.33,394366.67,419616.67,443391.67,461716.67,478333.33,390980.63
10,Georgia,333125.0,311483.33,290235.71,284433.33,304966.67,328275.0,343091.67,358858.33,378808.33,396658.33,409716.67,339968.4
11,Hawaii,678275.0,679508.33,667800.0,685866.67,729608.33,777708.33,815558.33,874066.67,900316.67,971725.0,977083.33,796137.88
12,Idaho,237641.67,218425.0,203150.0,200416.67,217541.67,238100.0,252291.67,269725.0,291066.67,325258.33,355366.67,255362.12
13,Illinois,443100.0,414966.67,388642.86,377000.0,394641.67,412341.67,418750.0,425625.0,434000.0,443758.33,447600.0,418220.56
14,Indiana,188500.0,186441.67,184507.14,185400.0,187683.33,192266.67,200158.33,211883.33,225550.0,242716.67,258350.0,205768.83
15,Iowa,178025.0,181016.67,181492.86,187958.33,196991.67,205550.0,217058.33,227308.33,237900.0,246200.0,254033.33,210321.32
16,Kansas,230225.0,228341.67,224757.14,223283.33,230216.67,237200.0,244858.33,256008.33,269208.33,278175.0,288166.67,246403.68
17,Kentucky,236683.33,237241.67,233657.14,231783.33,234616.67,238275.0,249133.33,262500.0,278258.33,288125.0,297016.67,253390.04
18,Louisiana,283358.33,285775.0,296571.43,303908.33,319025.0,318500.0,329616.67,331841.67,336208.33,339150.0,330133.33,315826.19
19,Maine,281725.0,287616.67,279035.71,278016.67,285100.0,293733.33,305191.67,316575.0,332066.67,350500.0,368966.67,307138.85
20,Maryland,,,,,,,,,,,,
21,Massachusetts,551366.67,550083.33,541550.0,541725.0,568800.0,601066.67,627058.33,653300.0,695833.33,741050.0,757733.33,620869.7
22,Michigan,214558.33,205433.33,201421.43,208833.33,228866.67,249650.0,265991.67,281941.67,298808.33,318541.67,333216.67,255205.74
23,Minnesota,289141.67,279041.67,261235.71,266108.33,287416.67,305816.67,317850.0,331466.67,349366.67,365933.33,379816.67,312108.55
24,Mississippi,178391.67,181191.67,191542.86,187825.0,196725.0,198016.67,206958.33,212783.33,219533.33,232533.33,237816.67,203937.99
