RegionID,Date,RegionName,State,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
395029,6/30/2019,"Rochelle, IL",IL,527,122200,0.006589786,0.009083402,0.010752688,0.06617751,-0.006244853,2007-05,2007-Q2,134000,-0.088059701,2005-09
394517,6/30/2019,"Danville, KY",KY,528,127800,-0.00234192,-0.007763975,0.037337662,0.054965846,0.02432195,2019-01,2019-Q1,128900,-0.008533747,2018-10
394339,6/30/2019,"Ashland, OH",OH,529,134600,0.004477612,0.001488095,0.07766213,0.049925588,0.019740678,2019-01,2019-Q1,135500,-0.006642066,2018-12
394903,6/30/2019,"Natchez, MS",MS,530,95500,-0.014447884,-0.016477858,-0.0093361,0.025506119,0.016103382,2017-02,2017-Q1,101400,-0.058185404,2016-09
394652,6/30/2019,"Greenville, OH",OH,531,131500,-0.003787879,0.003051106,0.165780142,-0.000303905,,2015-07,2015-Q3,143900,-0.086170952,2014-06
394625,6/30/2019,"Galesburg, IL",IL,532,69100,0.004360465,0.010233918,0.013196481,0.014819033,0.010251132,2019-06,2019-Q2,69100,0,2019-06
395204,6/30/2019,"Warrensburg, MO",MO,533,180300,0.00389755,0.017494357,0.126875,0.029508466,0.023448441,2019-06,2019-Q2,180300,0,2019-06
394737,6/30/2019,"Kearney, NE",NE,534,190900,0.005795574,0.006325778,0.040326975,0.044847131,0.042009169,2019-06,2019-Q2,190900,0,2019-06
394608,6/30/2019,"Fort Polk South, LA",LA,535,93400,0.004301075,-0.004264392,0.00972973,0.035369682,0.019363901,2018-12,2018-Q4,97300,-0.04008222,2018-08
394604,6/30/2019,"Fort Leonard Wood, MO",MO,536,163000,-0.008515815,-0.019253911,0.028391167,0.022974769,0.016055148,2019-03,2019-Q1,166200,-0.019253911,2018-12
394632,6/30/2019,"Glasgow, KY",KY,537,106100,-0.006554307,-0.026605505,-0.059397163,0.054949987,0.014914434,2018-09,2018-Q3,113400,-0.064373898,2018-03
394344,6/30/2019,"Athens, TN",TN,538,121200,0.005809129,-0.003289474,0.072566372,0.063469363,0.034066222,2019-02,2019-Q1,121900,-0.005742412,2019-01
394556,6/30/2019,"Edwards, CO",CO,539,713900,-0.007369299,-0.028575316,-0.01217656,0.061103285,0.017873059,2019-02,2019-Q1,736700,-0.030948826,2018-06
394592,6/30/2019,"Fernley, NV",NV,540,261900,-0.001144165,-0.006825939,0.054772453,0.124437159,,2019-03,2019-Q1,263700,-0.006825939,2019-02
394838,6/30/2019,"Mason City, IA",IA,541,111000,0.008174387,0.028730306,0.082926829,0.031620289,0.021534535,2019-06,2019-Q2,111000,0,2019-06
395234,6/30/2019,"Winona, MN",MN,542,165600,0.007912355,0.009756098,0.053435115,0.035194231,0.024578217,2019-01,2019-Q1,166200,-0.003610108,2019-01
394547,6/30/2019,"Durango, CO",CO,543,426200,0,0.013555291,0.068974166,0.05422543,0.024156228,2019-06,2019-Q2,426200,0,2019-06
394985,6/30/2019,"Platteville, WI",WI,544,133700,0.006777108,0.012112036,0.051927616,0.045952665,0.023584132,2003-05,2003-Q2,135700,-0.014738394,2003-03
394402,6/30/2019,"Boone, NC",NC,545,258900,0.003488372,-0.006904488,0.125652174,0.041173911,0.010206556,2007-09,2007-Q3,273200,-0.052342606,2007-04
394363,6/30/2019,"Bartlesville, OK",OK,546,98000,0.003070624,0.01344364,0.072210066,0.052994346,0.013976067,2019-06,2019-Q2,98000,0,2019-06
394717,6/30/2019,"Jacksonville, TX",TX,547,89700,-0.008839779,-0.029220779,0.028669725,0.036444941,0.022508201,2019-02,2019-Q1,92600,-0.031317495,2018-09
395020,6/30/2019,"Rexburg, ID",ID,548,238700,0.003362757,0.014018692,0.11489958,0.080873279,0.042587154,2019-06,2019-Q2,238700,0,2019-06
395122,6/30/2019,"St. Marys, GA",GA,549,170600,-0.001755413,-0.004086398,0.120157584,0.061305665,0.013154605,2019-03,2019-Q1,171300,-0.004086398,2019-03
753911,6/30/2019,"Ozark, AL",AL,550,90400,0.005561735,-0.004405286,0.064782097,0.026547498,0.006296759,2010-07,2010-Q3,96900,-0.067079463,2010-03
394326,6/30/2019,"Amsterdam, NY",NY,551,109500,0.002747253,-0.00273224,0.03988604,0.036343503,0.011364083,2019-01,2019-Q1,110600,-0.00994575,2018-12
394571,6/30/2019,"Enterprise, AL",AL,552,115200,0.008756567,0.010526316,0.024911032,0.024839035,-0.0044879,2012-04,2012-Q2,124400,-0.073954984,2012-02
394742,6/30/2019,"Kerrville, TX",TX,553,213100,-0.000469043,-0.002807674,0.11105318,0.051477018,0.032279173,2019-03,2019-Q1,213700,-0.002807674,2019-02
394906,6/30/2019,"New Castle, IN",IN,554,87400,0,0.001145475,0.084367246,0.028617554,0.009773164,2019-01,2019-Q1,87500,-0.001142857,2019-01
395097,6/30/2019,"Sidney, OH",OH,555,141900,0.005669738,0.006382979,0.061331339,0.044208521,0.028535515,2019-01,2019-Q1,142200,-0.002109705,2019-01
394504,6/30/2019,"Cortland, NY",NY,556,121800,0.001644737,0.003294893,0.027848101,0.031310306,0.021771018,2018-12,2018-Q4,122000,-0.001639344,2018-12
394477,6/30/2019,"Clinton, IA",IA,557,114100,0.001755926,-0.00349345,0.069353327,0.027349224,0.016473795,2019-02,2019-Q1,114800,-0.006097561,2019-01
394919,6/30/2019,"Norfolk, NE",NE,558,154900,0.000645995,-0.00193299,0.026507621,0.05808782,0.047166368,2019-01,2019-Q1,155600,-0.004498715,2018-12
394503,6/30/2019,"Corsicana, TX",TX,559,96500,-0.005154639,-0.016309888,0.017932489,0.053677484,0.027181278,2018-10,2018-Q4,98800,-0.023279352,2018-08
395124,6/30/2019,"Starkville, MS",MS,560,190600,0,0,0.050716648,0.051043806,0.021352596,2019-04,2019-Q2,190900,-0.001571503,2019-03
394427,6/30/2019,"Burlington, IA",IA,561,90000,-0.001109878,-0.010989011,0.021566402,0.038525698,0.021857767,2019-01,2019-Q1,91500,-0.016393443,2018-12
394336,6/30/2019,"Ardmore, OK",OK,562,87400,0.004597701,-0.003420753,0.021028037,0.040105511,0.020140151,2019-02,2019-Q1,88100,-0.007945516,2018-11
394739,6/30/2019,"Kendallville, IN",IN,563,126500,-0.004720692,-0.017857143,0.06391926,0.089513618,0.047018546,2019-01,2019-Q1,129900,-0.02617398,2018-10
394918,6/30/2019,"Nogales, AZ",AZ,564,148900,0.006761325,0.01568895,0.15247678,0.075243903,0.020544254,2006-11,2006-Q4,167700,-0.112104949,2006-07
394951,6/30/2019,"Oxford, MS",MS,565,201500,-0.00148662,-0.004938272,-0.0093412,0.041917407,0.017084589,2018-03,2018-Q1,207200,-0.027509653,2017-09
394398,6/30/2019,"Bogalusa, LA",LA,566,75300,0.010738255,0.020325203,0.034340659,0.029855574,0.017350427,2006-01,2006-Q1,91600,-0.177947598,2003-05
394987,6/30/2019,"Plymouth, IN",IN,567,139300,0.000718391,0.00287977,0.079008521,0.046278766,0.028279199,1996-01,1996-Q1,141800,-0.017630465,
394628,6/30/2019,"Gardnerville Ranchos, NV",NV,568,436100,0.002068015,0.003913444,0.105449937,0.092193742,0.043969921,2019-06,2019-Q2,436100,0,2019-06
395144,6/30/2019,"Tahlequah, OK",OK,569,95600,-0.012396694,-0.028455285,0.012711864,0.043141891,0.01759329,2019-02,2019-Q1,98700,-0.031408308,2018-10
394817,6/30/2019,"Madisonville, KY",KY,570,90000,-0.004424779,-0.007717751,0.063829787,0.032229479,0.015459299,2019-04,2019-Q2,90700,-0.007717751,2018-12
395043,6/30/2019,"Ruston, LA",LA,571,170600,0.003529412,0.010663507,0.033939394,0.035780853,0.031013555,2019-06,2019-Q2,170600,0,2019-06
753889,6/30/2019,"Hillsdale, MI",MI,572,130100,0.003858025,0.012451362,0.104414261,0.065578535,0.029794472,2019-06,2019-Q2,130100,0,2019-06
394789,6/30/2019,"Lewistown, PA",PA,573,97800,0.008247423,0.008247423,0.049356223,0.042829081,-0.008485831,2007-12,2007-Q4,120000,-0.185,2004-10
394990,6/30/2019,"Ponca City, OK",OK,574,65000,-0.006116208,-0.019607843,0.028481013,0.036627451,0.018713261,2019-03,2019-Q1,66300,-0.019607843,2018-10
395017,6/30/2019,"Red Wing, MN",MN,575,200200,0.005524862,0.015212982,0.071161049,0.055110091,0.02356656,2019-06,2019-Q2,200200,0,2019-06
753918,6/30/2019,"Shawano, WI",WI,576,123800,0.005686434,0.015586546,0.079337402,0.052618569,0.016898007,2019-06,2019-Q2,123800,0,2019-06
394446,6/30/2019,"Cedar City, UT",UT,577,241500,0.007089241,0.012578616,0.147813688,0.052483039,0.021932209,2019-06,2019-Q2,241500,0,2019-06
394375,6/30/2019,"Bedford, IN",IN,578,95300,0.003157895,0.003157895,0.100461894,0.065790717,0.025066396,2019-06,2019-Q2,95300,0,2019-06
394631,6/30/2019,"Gillette, WY",WY,579,267400,-0.002238806,0.006398193,0.068318018,0.021176905,0.012312656,2019-05,2019-Q2,268000,-0.002238806,2019-04
753905,6/30/2019,"Newport, OR",OR,580,286500,0.00280014,-0.006588072,0.055637436,0.074853592,0.022609808,2019-02,2019-Q1,288600,-0.007276507,2019-02
395201,6/30/2019,"Wapakoneta, OH",OH,581,126100,0.002384738,0.001588562,0.047342193,0.052790832,0.026161255,2019-01,2019-Q1,126900,-0.006304177,2018-12
394695,6/30/2019,"Huntingdon, PA",PA,582,123900,0.001616815,0.001616815,0.055366269,0.028230564,0.013081165,2019-06,2019-Q2,123900,0,2019-06
394377,6/30/2019,"Bellefontaine, OH",OH,583,129200,0.002327386,0,0.066006601,0.051524244,0.030577039,2019-02,2019-Q1,129800,-0.004622496,2019-01
394842,6/30/2019,"McAlester, OK",OK,584,81600,-0.006090134,-0.033175355,-0.03202847,0.046217148,0.014155131,2018-12,2018-Q4,85400,-0.044496487,2018-03
