,RegionName,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Avg_3br
28,Nevada,160925.0,138416.67,124742.86,124058.33,151425.0,176033.33,192533.33,210783.33,235116.67,266725.0,283616.67,187670.56
29,New Hampshire,225783.33,220725.0,209035.71,206291.67,213291.67,221183.33,230000.0,241166.67,258900.0,276608.33,288716.67,235609.31
30,New Jersey,339458.33,328100.0,311157.14,299658.33,308716.67,322666.67,328000.0,336166.67,351191.67,371866.67,387733.33,334974.13
31,New Mexico,189216.67,184375.0,174578.57,166916.67,166150.0,168941.67,173458.33,179408.33,185816.67,196200.0,204616.67,180879.87
32,New York,139366.67,139808.33,137400.0,135825.0,138558.33,141616.67,143475.0,147875.0,155258.33,162916.67,168050.0,146377.27
33,North Carolina,139941.67,136291.67,130871.43,128291.67,130266.67,133800.0,137483.33,144125.0,153916.67,165016.67,174616.67,143147.4
34,North Dakota,146716.67,150208.33,153742.86,162883.33,183675.0,198416.67,215483.33,222000.0,222533.33,220600.0,217150.0,190309.96
35,Ohio,110816.67,108641.67,103800.0,101491.67,103575.0,107358.33,111433.33,116383.33,124050.0,131816.67,138216.67,114325.76
36,Oklahoma,100141.67,101208.33,99321.43,98283.33,99300.0,100583.33,103650.0,110350.0,117083.33,122425.0,127133.33,107225.43
37,Oregon,223200.0,209841.67,191571.43,188733.33,205450.0,224658.33,245325.0,275250.0,305066.67,326250.0,339016.67,248578.46
38,Pennsylvania,149800.0,148150.0,141764.29,137608.33,139141.67,141650.0,144841.67,149575.0,157791.67,168183.33,173683.33,150199.03
39,Rhode Island,229250.0,226991.67,214207.14,204933.33,210150.0,217666.67,223733.33,236908.33,255666.67,275358.33,283633.33,234408.98
40,South Carolina,139466.67,136275.0,129785.71,127533.33,129958.33,132575.0,135216.67,143116.67,153450.0,163958.33,171200.0,142048.7
41,South Dakota,146158.33,145175.0,143878.57,142150.0,147883.33,150925.0,159733.33,168666.67,174525.0,184758.33,193333.33,159744.26
42,Tennessee,125416.67,122441.67,116535.71,113875.0,118225.0,124675.0,132625.0,143875.0,158925.0,174166.67,185566.67,137847.94
43,Texas,119950.0,118691.67,115335.71,113633.33,117108.33,123591.67,132158.33,143350.0,157700.0,173550.0,183166.67,136203.25
44,Utah,219875.0,205266.67,189400.0,186250.0,201416.67,213808.33,225541.67,247066.67,270300.0,304491.67,331100.0,235865.15
45,Vermont,,,,,,,,,,,,
46,Virginia,199241.67,191541.67,182892.86,181258.33,185741.67,191358.33,195766.67,201866.67,212666.67,221400.0,228083.33,199256.17
47,Washington,257225.0,241700.0,222164.29,214808.33,230908.33,247900.0,268433.33,298125.0,334616.67,363558.33,381183.33,278238.42
48,West Virginia,90558.33,89716.67,88957.14,88933.33,91141.67,93283.33,98116.67,100725.0,104316.67,107741.67,110366.67,96714.29
49,Wisconsin,163333.33,159708.33,150564.29,146083.33,149108.33,155800.0,156633.33,164908.33,176650.0,188241.67,199200.0,164566.45
50,Wyoming,197341.67,194700.0,193878.57,196425.0,201816.67,208075.0,215633.33,221991.67,226083.33,232108.33,237516.67,211415.48
