,RegionName,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Avg_3br
0,Alabama,123566.67,117233.33,108857.14,105800.0,106158.33,108350.0,112633.33,117416.67,120858.33,128475.0,135216.67,116778.68
1,Alaska,284350.0,285816.67,286714.29,284908.33,296700.0,305233.33,317000.0,320391.67,318116.67,320091.67,317666.67,303362.66
2,Arizona,139300.0,124541.67,111114.29,110541.67,119883.33,125858.33,129966.67,136816.67,144791.67,153125.0,161916.67,132532.36
3,Arkansas,135625.0,133008.33,129214.29,125825.0,128441.67,128966.67,128975.0,134266.67,139125.0,148216.67,154116.67,135071.0
4,California,323016.67,312341.67,295292.86,293566.67,344125.0,385733.33,414825.0,443958.33,478491.67,512775.0,522266.67,393308.44
5,Colorado,214000.0,210541.67,202635.71,207658.33,224141.67,242625.0,273391.67,306525.0,336475.0,360775.0,375000.0,268524.46
6,Connecticut,240783.33,235933.33,222557.14,211550.0,214741.67,216216.67,217525.0,220566.67,226725.0,235041.67,238616.67,225477.92
7,Delaware,209291.67,207808.33,197014.29,176708.33,177816.67,184116.67,189666.67,201983.33,212475.0,222716.67,224950.0,200413.42
8,District of Columbia,341958.33,326658.33,329342.86,352891.67,399775.0,447558.33,486133.33,530475.0,590566.67,629900.0,631516.67,460616.02
9,Florida,153783.33,138191.67,126814.29,126241.67,136866.67,152058.33,166033.33,184500.0,207008.33,225875.0,237450.0,168620.24
10,Georgia,128866.67,118391.67,105957.14,94258.33,102241.67,116025.0,125291.67,134683.33,146441.67,161316.67,173333.33,127891.56
11,Hawaii,457650.0,442725.0,432692.86,438950.0,475858.33,512325.0,541433.33,581375.0,615250.0,648900.0,655750.0,527537.23
12,Idaho,166550.0,151850.0,139385.71,137333.33,149491.67,162233.33,171608.33,185350.0,203425.0,230800.0,258966.67,177908.55
13,Illinois,179750.0,163558.33,149664.29,139983.33,144925.0,152641.67,159408.33,165858.33,174466.67,184533.33,191566.67,164214.18
14,Indiana,113750.0,111716.67,110092.86,108633.33,108566.67,110358.33,114383.33,120258.33,128066.67,138658.33,148200.0,119334.96
15,Iowa,124375.0,125016.67,123478.57,125308.33,128883.33,131816.67,137233.33,143133.33,149541.67,155558.33,160600.0,136813.2
16,Kansas,119316.67,118191.67,114585.71,112200.0,113225.0,116233.33,119125.0,124775.0,132516.67,138808.33,144100.0,123007.03
17,Kentucky,117883.33,119366.67,117671.43,115383.33,116358.33,117508.33,121125.0,127025.0,134758.33,143083.33,149466.67,125420.89
18,Louisiana,,,,,,,,,,,,
19,Maine,184875.0,189100.0,182900.0,183050.0,187991.67,192883.33,198808.33,209458.33,225216.67,237975.0,248433.33,203699.24
20,Maryland,,,,,,,,,,,,
21,Massachusetts,284575.0,283208.33,272878.57,268666.67,282466.67,298191.67,311133.33,329250.0,355925.0,377725.0,389116.67,313921.54
22,Michigan,118691.67,111225.0,105721.43,108433.33,121041.67,133608.33,143083.33,153125.0,165816.67,177125.0,186200.0,138551.95
23,Minnesota,178016.67,170675.0,157114.29,155016.67,167941.67,179916.67,189158.33,202633.33,219816.67,234450.0,245083.33,190892.97
24,Mississippi,118466.67,123516.67,121878.57,112841.67,108925.0,107691.67,113316.67,116341.67,120758.33,127000.0,134833.33,118688.2
25,Missouri,137583.33,133841.67,128514.29,125316.67,127091.67,130233.33,134550.0,141366.67,149075.0,160583.33,168683.33,139712.66
26,Montana,190516.67,190041.67,186428.57,187283.33,194041.67,198725.0,204408.33,213458.33,221933.33,241933.33,254083.33,207532.14
27,Nebraska,126650.0,127091.67,124342.86,125041.67,128125.0,131700.0,137850.0,145275.0,154533.33,164766.67,173183.33,139869.05
