,RegionName,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Avg_2br
0,Alabama,75041.67,67850.0,59235.71,55258.33,52533.33,52558.33,55708.33,59850.0,61800.0,68450.0,72116.67,61854.76
1,Alaska,196125.0,196083.33,196835.71,193633.33,195066.67,198200.0,206608.33,209166.67,207583.33,209891.67,207850.0,201549.46
2,Arizona,110250.0,97266.67,86750.0,84058.33,90100.0,95458.33,96916.67,101641.67,109908.33,119216.67,130016.67,101962.12
3,Arkansas,96300.0,90066.67,83357.14,82450.0,83200.0,81608.33,81350.0,82100.0,90166.67,99350.0,102733.33,88425.65
4,California,280241.67,263841.67,246400.0,242958.33,287283.33,329225.0,356258.33,387258.33,421400.0,454641.67,463483.33,339362.88
5,Colorado,161233.33,158483.33,151435.71,153416.67,166841.67,182400.0,210525.0,242691.67,271341.67,297741.67,311550.0,209787.34
6,Connecticut,185791.67,180725.0,169007.14,157266.67,157916.67,156425.0,154441.67,155833.33,161691.67,167566.67,172250.0,165355.95
7,Delaware,164941.67,159650.0,144171.43,128983.33,130741.67,134800.0,137000.0,146266.67,159291.67,167358.33,168133.33,149212.55
8,District of Columbia,376291.67,383358.33,385600.0,395525.0,432641.67,460308.33,489575.0,510141.67,539350.0,555725.0,561733.33,462750.0
9,Florida,107933.33,89516.67,79621.43,78991.67,88166.67,102775.0,116308.33,131716.67,149808.33,163716.67,171916.67,116406.49
10,Georgia,100766.67,88525.0,75107.14,63275.0,68250.0,77425.0,84650.0,94083.33,110208.33,127883.33,139150.0,93574.89
11,Hawaii,350000.0,344225.0,337185.71,337341.67,362108.33,388808.33,408783.33,429200.0,449733.33,465866.67,472200.0,395041.13
12,Idaho,132858.33,120708.33,110871.43,108825.0,116891.67,124125.0,131375.0,143658.33,158741.67,180475.0,202050.0,139143.61
13,Illinois,137458.33,120950.0,107600.0,92900.0,92466.67,101133.33,112208.33,119416.67,127175.0,137250.0,140700.0,117205.3
14,Indiana,74650.0,72058.33,70107.14,67333.33,66100.0,65533.33,66333.33,70283.33,75700.0,83741.67,90166.67,72909.74
15,Iowa,86791.67,86458.33,84292.86,84400.0,86383.33,88208.33,91466.67,95475.0,100266.67,106558.33,109533.33,92712.23
16,Kansas,66191.67,64675.0,62207.14,60466.67,60158.33,59533.33,60958.33,63075.0,66858.33,69433.33,70783.33,64030.95
17,Kentucky,84750.0,84275.0,82057.14,79183.33,78883.33,79683.33,82133.33,86116.67,91575.0,99575.0,104066.67,86572.62
18,Louisiana,48300.0,51741.67,53271.43,48241.67,42758.33,44466.67,44641.67,49916.67,44991.67,49616.67,46150.0,47645.13
19,Maine,158550.0,162658.33,157707.14,158191.67,162550.0,167991.67,171841.67,178025.0,192808.33,204233.33,215116.67,175424.89
20,Maryland,,,,,,,,,,,,
21,Massachusetts,229141.67,227208.33,217678.57,213150.0,223558.33,236908.33,247883.33,261975.0,284500.0,307341.67,318483.33,251620.78
22,Michigan,87808.33,76316.67,69907.14,71125.0,81133.33,92858.33,102750.0,113500.0,124558.33,134208.33,142483.33,99695.35
23,Minnesota,145366.67,138125.0,125635.71,122058.33,131950.0,142166.67,149566.67,159933.33,172233.33,185333.33,194966.67,151575.97
24,Mississippi,72908.33,74391.67,72428.57,65991.67,63950.0,60583.33,60483.33,66108.33,69216.67,75616.67,80016.67,69245.02
25,Missouri,89858.33,86783.33,81442.86,77250.0,77241.67,78075.0,79450.0,83125.0,88508.33,96183.33,101100.0,85365.26
26,Montana,139933.33,139050.0,135700.0,136533.33,140250.0,144091.67,148466.67,155500.0,160916.67,173083.33,181066.67,150417.42
27,Nebraska,87691.67,88408.33,86014.29,85808.33,87816.67,90966.67,95716.67,101733.33,109725.0,118158.33,124283.33,97847.51
28,Nevada,116925.0,92666.67,79585.71,76733.33,98241.67,119550.0,131766.67,144250.0,162133.33,192483.33,210166.67,129500.22
29,New Hampshire,170116.67,165108.33,155014.29,151125.0,154400.0,158658.33,164183.33,172600.0,186733.33,201500.0,212550.0,171999.03
30,New Jersey,280900.0,265850.0,249892.86,233575.0,241741.67,252550.0,257858.33,266366.67,278208.33,297300.0,309900.0,266740.26
31,New Mexico,150916.67,147133.33,137128.57,129366.67,129558.33,130850.0,134158.33,138691.67,144066.67,153050.0,162116.67,141548.81
32,New York,120266.67,120091.67,117050.0,114808.33,116733.33,119883.33,121091.67,123891.67,130416.67,137958.33,142316.67,124046.21
33,North Carolina,93308.33,89566.67,84185.71,80383.33,79916.67,81541.67,83741.67,88541.67,96550.0,106900.0,114816.67,90859.31
34,North Dakota,127416.67,129141.67,132685.71,142150.0,157366.67,168191.67,180291.67,185516.67,185850.0,187083.33,184700.0,161854.0
35,Ohio,78750.0,76000.0,71078.57,67775.0,67933.33,69916.67,72650.0,75266.67,81283.33,87650.0,92066.67,76397.29
36,Oklahoma,40616.67,40550.0,39000.0,37758.33,38133.33,38925.0,39675.0,41808.33,46925.0,52933.33,54733.33,42823.48
37,Oregon,186933.33,173841.67,157200.0,151966.67,165958.33,181616.67,201133.33,228958.33,257041.67,278258.33,288100.0,206455.3
38,Pennsylvania,117750.0,117050.0,111521.43,106466.67,107700.0,109425.0,113008.33,117391.67,123350.0,131883.33,135966.67,117410.28
39,Rhode Island,194008.33,188691.67,175464.29,165966.67,169875.0,176491.67,180066.67,192783.33,210983.33,227633.33,232083.33,192186.15
40,South Carolina,90291.67,86391.67,79721.43,75941.67,76375.0,77608.33,79575.0,86458.33,96408.33,107875.0,115666.67,88392.1
41,South Dakota,122683.33,123408.33,123107.14,119108.33,122216.67,125841.67,132258.33,140691.67,145850.0,152991.67,160566.67,133520.35
42,Tennessee,84250.0,82225.0,74692.86,69641.67,72358.33,79008.33,86658.33,97133.33,113850.0,128108.33,137550.0,93225.11
43,Texas,73258.33,71183.33,69442.86,68733.33,70408.33,72283.33,76541.67,83775.0,96350.0,111191.67,119850.0,83001.62
44,Utah,173775.0,161625.0,146900.0,141666.67,152891.67,161516.67,171083.33,188058.33,211083.33,241466.67,264750.0,183165.15
45,Vermont,,,,,,,,,,,,
46,Virginia,156991.67,148733.33,140307.14,136791.67,140250.0,144141.67,146366.67,149883.33,156975.0,163391.67,168316.67,150195.35
47,Washington,214166.67,197833.33,177771.43,166208.33,177466.67,192658.33,212050.0,237958.33,271366.67,302566.67,318033.33,224370.89
48,West Virginia,54033.33,52716.67,51664.29,51233.33,51650.0,52700.0,55341.67,57783.33,60958.33,62091.67,62500.0,55697.51
49,Wisconsin,125183.33,120758.33,112450.0,105433.33,104808.33,109466.67,110500.0,116466.67,125716.67,135300.0,143683.33,119069.7
50,Wyoming,146058.33,144291.67,143357.14,145083.33,149275.0,155875.0,160316.67,164375.0,165633.33,171708.33,173683.33,156332.47
