,Avg_housing_price
2009,342408.33
2010,332483.33
2011,312535.71
2012,310858.33
2013,363791.67
2014,407491.67
2015,435458.33
2016,466533.33
2017,504300.0
2018,540650.0
2019,549183.33
2018,
540650.0,415063.1
